model,run,latency_ms
vgg16,35,266.3797
vgg16,36,284.9965
vgg16,37,275.9034
vgg16,38,253.6623
vgg16,39,254.3947
vgg16,40,256.4747
vgg16,41,236.2916
vgg16,42,245.0837
vgg16,43,234.1712
vgg16,44,290.0507
vgg16,45,277.117
vgg16,46,257.0708
vgg16,47,238.6961
vgg16,48,240.1501
vgg16,49,235.9175
vgg16,50,239.938
vgg16,51,240.1524
vgg16,52,243.9169
vgg16,53,234.5839
vgg16,54,233.7925
vgg16,55,230.1996
vgg16,56,334.1003
vgg16,57,313.6762
vgg16,58,250.7158
vgg16,59,239.7052
vgg16,60,354.4941
vgg16,61,292.8985
vgg16,62,344.9523
vgg16,63,278.741
vgg16,64,331.7769
vgg16,65,338.6101
vgg16,66,413.9207
vgg16,67,314.5778
vgg16,68,345.7378
vgg16,69,270.6472
vgg16,70,641.6342
vgg16,71,343.9525
vgg16,72,537.6353
vgg16,73,310.5335
vgg16,74,325.603
vgg16,75,287.4273
vgg16,76,240.3621
vgg16,77,243.965
vgg16,78,256.4842
vgg16,79,383.1458
vgg16,80,605.3737
vgg16,81,315.4952
vgg16,82,259.2766
vgg16,83,340.9592
vgg16,84,303.2153
vgg16,85,279.4513
vgg16,86,288.8692
vgg16,87,224.4855
vgg16,88,233.7867
vgg16,89,316.7334
vgg16,90,242.7285
vgg16,91,250.5841
vgg16,92,371.1731
vgg16,93,280.17
vgg16,94,448.7044
vgg16,95,421.4629
vgg16,96,407.4908
vgg16,97,664.1652
vgg16,98,604.582
vgg16,99,689.1499
vgg16,100,877.8081
inception_v3,1,125.3646
inception_v3,2,101.7957
inception_v3,3,96.7818
inception_v3,4,100.9219
inception_v3,5,94.0798
inception_v3,6,99.8195
inception_v3,7,207.6858
inception_v3,8,170.854
inception_v3,9,195.7317
inception_v3,10,135.7185
inception_v3,11,113.7597
inception_v3,12,119.9248
inception_v3,13,344.283
inception_v3,14,155.7439
inception_v3,15,90.3544
inception_v3,16,89.9122
inception_v3,17,106.774
inception_v3,18,189.6866
inception_v3,19,144.3915
inception_v3,20,132.1583
inception_v3,21,91.7164
inception_v3,22,91.9738
inception_v3,23,99.1273
inception_v3,24,91.7535
inception_v3,25,93.31
inception_v3,26,98.4464
inception_v3,27,90.0634
inception_v3,28,88.1714
inception_v3,29,92.4052
inception_v3,30,89.7505
inception_v3,31,87.5509
inception_v3,32,93.5152
inception_v3,33,98.7443
inception_v3,34,97.7164
inception_v3,35,92.8088
inception_v3,36,113.0902
inception_v3,37,156.7517
inception_v3,38,123.0952
inception_v3,39,104.0961
inception_v3,40,136.4313
inception_v3,41,153.5109
inception_v3,42,122.1386
inception_v3,43,107.0037
inception_v3,44,237.717
inception_v3,45,139.8749
inception_v3,46,128.4718
inception_v3,47,124.075
inception_v3,48,113.855
inception_v3,49,104.8403
inception_v3,50,98.7095
inception_v3,51,129.3702
inception_v3,52,291.1366
inception_v3,53,291.5248
inception_v3,54,366.6912
inception_v3,55,413.3564
inception_v3,56,308.187
inception_v3,57,179.2288
inception_v3,58,132.2217
inception_v3,59,156.8782
inception_v3,60,143.742
inception_v3,61,161.3257
inception_v3,62,130.8289
inception_v3,63,132.9112
inception_v3,64,123.6549
inception_v3,65,146.3527
inception_v3,66,128.944
inception_v3,67,147.4352
inception_v3,68,200.0846
inception_v3,69,207.5113
inception_v3,70,208.3868
inception_v3,71,360.2211
inception_v3,72,370.6618
inception_v3,73,228.2364
inception_v3,74,214.5806
inception_v3,75,389.4276
inception_v3,76,346.2785
inception_v3,77,134.576
inception_v3,78,213.1397
inception_v3,79,183.3085
inception_v3,80,122.2152
inception_v3,81,127.1559
inception_v3,82,216.2698
inception_v3,83,152.501
inception_v3,84,133.8434
inception_v3,85,158.1387
inception_v3,86,161.1259
inception_v3,87,135.0558
inception_v3,88,135.8323
inception_v3,89,192.0188
inception_v3,90,189.1504
inception_v3,91,142.0797
inception_v3,92,157.0493
inception_v3,93,128.5913
inception_v3,94,169.0631
inception_v3,95,140.6185
inception_v3,96,166.1996
inception_v3,97,155.4802
inception_v3,98,155.6527
inception_v3,99,315.8558
inception_v3,100,116.1546
