model,hardware_type,run,latency_ms
resnet50,cpu,76,189.6261
resnet50,cpu,77,186.2348
resnet50,cpu,78,185.9922
resnet50,cpu,79,184.6651
resnet50,cpu,80,194.4561
resnet50,cpu,81,200.5238
resnet50,cpu,82,184.9541
resnet50,cpu,83,186.462
resnet50,cpu,84,184.8448
resnet50,cpu,85,235.9783
resnet50,cpu,86,201.8666
resnet50,cpu,87,221.3019
resnet50,cpu,88,200.9959
resnet50,cpu,89,225.0428
resnet50,cpu,90,227.5523
resnet50,cpu,91,190.4406
resnet50,cpu,92,186.2627
resnet50,cpu,93,182.8004
resnet50,cpu,94,182.0448
resnet50,cpu,95,186.0689
resnet50,cpu,96,187.6164
resnet50,cpu,97,204.2224
resnet50,cpu,98,183.1334
resnet50,cpu,99,184.0753
resnet50,cpu,100,185.2718
vgg16,cpu,1,479.5282
vgg16,cpu,2,447.5566
vgg16,cpu,3,453.7363
vgg16,cpu,4,463.9291
vgg16,cpu,5,478.9747
vgg16,cpu,6,473.9123
vgg16,cpu,7,483.1253
vgg16,cpu,8,472.2459
vgg16,cpu,9,481.9246
vgg16,cpu,10,461.9331
vgg16,cpu,11,553.5585
vgg16,cpu,12,478.6507
vgg16,cpu,13,470.6855
vgg16,cpu,14,480.258
vgg16,cpu,15,452.2104
vgg16,cpu,16,479.8272
vgg16,cpu,17,464.1446
vgg16,cpu,18,478.3869
vgg16,cpu,19,459.4471
vgg16,cpu,20,460.5539
vgg16,cpu,21,460.093
vgg16,cpu,22,479.0102
vgg16,cpu,23,455.6803
vgg16,cpu,24,465.0746
vgg16,cpu,25,452.4352
vgg16,cpu,26,456.5658
vgg16,cpu,27,478.5908
vgg16,cpu,28,504.5082
vgg16,cpu,29,458.3261
vgg16,cpu,30,455.4256
vgg16,cpu,31,463.8149
vgg16,cpu,32,467.2825
vgg16,cpu,33,483.9147
vgg16,cpu,34,462.1811
vgg16,cpu,35,469.1226
vgg16,cpu,36,463.84
vgg16,cpu,37,468.7285
vgg16,cpu,38,474.0306
vgg16,cpu,39,468.812
vgg16,cpu,40,464.2785
vgg16,cpu,41,554.7566
vgg16,cpu,42,484.3916
vgg16,cpu,43,473.7514
vgg16,cpu,44,463.3798
vgg16,cpu,45,472.9172
vgg16,cpu,46,456.7943
vgg16,cpu,47,459.1893
vgg16,cpu,48,458.8497
vgg16,cpu,49,455.5695
vgg16,cpu,50,458.4635
vgg16,cpu,51,454.8152
vgg16,cpu,52,459.5431
vgg16,cpu,53,465.9201
vgg16,cpu,54,496.1692
vgg16,cpu,55,463.7725
vgg16,cpu,56,510.9446
vgg16,cpu,57,464.84
vgg16,cpu,58,466.4799
vgg16,cpu,59,582.6213
vgg16,cpu,60,479.9836
vgg16,cpu,61,562.4527
vgg16,cpu,62,467.039
vgg16,cpu,63,458.0862
vgg16,cpu,64,536.3639
vgg16,cpu,65,610.7648
vgg16,cpu,66,545.8231
vgg16,cpu,67,524.1613
vgg16,cpu,68,535.983
vgg16,cpu,69,479.1979
vgg16,cpu,70,500.5316
vgg16,cpu,71,483.1786
vgg16,cpu,72,453.1255
vgg16,cpu,73,453.8769
vgg16,cpu,74,464.4699
vgg16,cpu,75,476.0731
vgg16,cpu,76,478.2947
vgg16,cpu,77,486.2623
vgg16,cpu,78,466.7252
vgg16,cpu,79,559.288
vgg16,cpu,80,480.9252
vgg16,cpu,81,483.6241
vgg16,cpu,82,469.6095
vgg16,cpu,83,473.9631
vgg16,cpu,84,468.9684
vgg16,cpu,85,463.1446
vgg16,cpu,86,470.9011
vgg16,cpu,87,456.5757
vgg16,cpu,88,468.5397
vgg16,cpu,89,520.66
vgg16,cpu,90,492.0494
vgg16,cpu,91,466.4333
vgg16,cpu,92,459.505
vgg16,cpu,93,473.9975
vgg16,cpu,94,449.1141
vgg16,cpu,95,513.8825
vgg16,cpu,96,486.9704
vgg16,cpu,97,512.2237
vgg16,cpu,98,481.2106
vgg16,cpu,99,489.8971
vgg16,cpu,100,473.7875
inception_v3,cpu,1,155.5337
inception_v3,cpu,2,151.2211
inception_v3,cpu,3,136.2606
inception_v3,cpu,4,149.5315
inception_v3,cpu,5,139.1092
inception_v3,cpu,6,128.5524
inception_v3,cpu,7,131.5363
inception_v3,cpu,8,136.6536
inception_v3,cpu,9,162.7326
inception_v3,cpu,10,143.1731
inception_v3,cpu,11,135.1119
inception_v3,cpu,12,134.2022
inception_v3,cpu,13,135.6252
inception_v3,cpu,14,129.9647
inception_v3,cpu,15,131.9736
inception_v3,cpu,16,132.9965
inception_v3,cpu,17,132.8563
inception_v3,cpu,18,130.648
inception_v3,cpu,19,131.6506
inception_v3,cpu,20,131.2696
inception_v3,cpu,21,130.2451
inception_v3,cpu,22,133.3008
inception_v3,cpu,23,131.2587
inception_v3,cpu,24,144.1771
inception_v3,cpu,25,144.5094
inception_v3,cpu,26,139.9636
inception_v3,cpu,27,135.7767
inception_v3,cpu,28,133.5543
inception_v3,cpu,29,130.3004
inception_v3,cpu,30,129.6509
inception_v3,cpu,31,130.5067
inception_v3,cpu,32,132.4393
inception_v3,cpu,33,133.5711
inception_v3,cpu,34,148.8985
inception_v3,cpu,35,154.6202
inception_v3,cpu,36,133.7058
inception_v3,cpu,37,159.838
inception_v3,cpu,38,162.5347
inception_v3,cpu,39,160.8322
inception_v3,cpu,40,136.6466
inception_v3,cpu,41,130.5787
inception_v3,cpu,42,130.2422
inception_v3,cpu,43,129.2306
inception_v3,cpu,44,132.9402
inception_v3,cpu,45,186.7904
inception_v3,cpu,46,161.6796
inception_v3,cpu,47,166.1032
inception_v3,cpu,48,140.7168
inception_v3,cpu,49,127.0551
inception_v3,cpu,50,133.3432
inception_v3,cpu,51,137.0004
inception_v3,cpu,52,129.1938
inception_v3,cpu,53,133.5939
inception_v3,cpu,54,128.3167
inception_v3,cpu,55,129.068
inception_v3,cpu,56,130.9959
inception_v3,cpu,57,128.5514
inception_v3,cpu,58,130.4195
inception_v3,cpu,59,143.9106
inception_v3,cpu,60,142.8158
inception_v3,cpu,61,128.2612
inception_v3,cpu,62,133.1871
inception_v3,cpu,63,141.8729
inception_v3,cpu,64,132.4057
inception_v3,cpu,65,137.7461
inception_v3,cpu,66,143.9153
inception_v3,cpu,67,149.9079
inception_v3,cpu,68,131.2957
inception_v3,cpu,69,128.4868
inception_v3,cpu,70,132.6434
inception_v3,cpu,71,127.6075
inception_v3,cpu,72,132.7435
inception_v3,cpu,73,131.307
inception_v3,cpu,74,128.7529
inception_v3,cpu,75,135.757
inception_v3,cpu,76,146.8458
inception_v3,cpu,77,138.4295
inception_v3,cpu,78,132.7116
inception_v3,cpu,79,134.7375
inception_v3,cpu,80,137.5769
inception_v3,cpu,81,143.5787
inception_v3,cpu,82,143.9876
inception_v3,cpu,83,130.0918
inception_v3,cpu,84,143.4874
inception_v3,cpu,85,152.7399
inception_v3,cpu,86,145.2257
inception_v3,cpu,87,142.2364
inception_v3,cpu,88,143.0239
inception_v3,cpu,89,132.4365
inception_v3,cpu,90,139.3856
inception_v3,cpu,91,162.3121
inception_v3,cpu,92,155.838
inception_v3,cpu,93,141.3639
inception_v3,cpu,94,133.5137
inception_v3,cpu,95,133.5329
inception_v3,cpu,96,135.6757
inception_v3,cpu,97,137.5513
inception_v3,cpu,98,152.235
inception_v3,cpu,99,165.1987
inception_v3,cpu,100,151.4566
mobilenet_v2,cpu,1,32.0191
mobilenet_v2,cpu,2,33.5739
mobilenet_v2,cpu,3,35.871
mobilenet_v2,cpu,4,37.9472
mobilenet_v2,cpu,5,39.9123
mobilenet_v2,cpu,6,51.6052
mobilenet_v2,cpu,7,37.567
mobilenet_v2,cpu,8,35.211
mobilenet_v2,cpu,9,35.8953
mobilenet_v2,cpu,10,37.0696
mobilenet_v2,cpu,11,42.1826
mobilenet_v2,cpu,12,46.975
mobilenet_v2,cpu,13,49.0175
mobilenet_v2,cpu,14,41.0662
mobilenet_v2,cpu,15,41.4006
mobilenet_v2,cpu,16,35.3968
mobilenet_v2,cpu,17,37.5406
mobilenet_v2,cpu,18,38.708
mobilenet_v2,cpu,19,35.0789
mobilenet_v2,cpu,20,35.0568
mobilenet_v2,cpu,21,35.7995
mobilenet_v2,cpu,22,35.7219
mobilenet_v2,cpu,23,33.5639
mobilenet_v2,cpu,24,35.3936
mobilenet_v2,cpu,25,37.7279
